Spider VIP firmware — Satellites summary
Source: /usr/local/default/default_data.xml
Total satellites : 227
Total transponders: 6824
==================================================
     POS  COUNT       SATELLITE
--------------------------------------------------
    7.0W    76 TP   7.0W Nilesat 201 & Eutelsat 7 West A
   26.0E    97 TP   26.0E Ku-band Badr 4/5/6/7 & Eshail 2
   26.1E     2 TP   26.0E C-band Badr 4/5/6/7 & Eshail 2
   13.0E    96 TP   13.0E Hotbird 13B/13C/13E
   19.2E   100 TP   19.2E Ku-band Astra 1KR/1L/1M/1N
   23.5E   118 TP   23.5E Astra 3B
   30.0W    97 TP   30.0W Hispasat 30W-5/30W-6
   27.5W     2 TP   27.5W Ku-band Intelsat 901
   27.6W    26 TP   27.5W C-band Intelsat 901
   16.0E   145 TP   16.0E Ku-band Eutelsat 16A
   16.2E    15 TP   16.0E Ka-band Eutelsat 16A
    9.0E    42 TP   9.0E Ku-band Eutelsat 9B & Ka-Sat 9A
    9.2E     1 TP   9.0E Ka-band Eutelsat 9B & Ka-Sat 9A
    5.1W    10 TP   5.0W C-band Eutelsat 5 West A/B
    5.0W    70 TP   5.0W Ku-band Eutelsat 5 West A/B
    4.8E    96 TP   4.9E Ku-band Astra 4A & SES 5
    4.9E    20 TP   4.9E C-band Astra 4A & SES 5
    5.0E     2 TP   4.9E Ka-band Astra 4A & SES 5
    0.9W     5 TP   0.8W C-band Thor 5/6/7 & Intelsat 10-02
    0.8W   130 TP   0.8W Ku-band Thor 5/6/7 & Intelsat 10-02
  177.1W     7 TP   177.0W C-band NSS 9
   19.4E    31 TP   19.2E Ka-band Astra 1KR/1L/1M/1N
  139.1W     1 TP   139.0W C-band AMC 8
  133.1W    17 TP   133.0W C-band Galaxy 15
  131.1W    13 TP   131.0W C-band AMC 11
  129.0W    42 TP   129.0W Ciel 2
  127.1W    15 TP   127.0W C-band Galaxy 13/Horizons 1
  127.0W     5 TP   127.0W Ku-band Galaxy 13/Horizons 1
  125.1W    23 TP   125.0W C-band AMC 21 & Galaxy 14
  125.0W     6 TP   125.0W Ku-band AMC 21 & Galaxy 14
  123.1W     4 TP   123.0W C-band Galaxy 18
  123.0W     5 TP   123.0W Ku-band Galaxy 18
  121.1W    10 TP   121.0W C-band EchoStar 9/Galaxy 23
  121.0W     8 TP   121.0W Ku-band EchoStar 9/Galaxy 23
  119.1W     2 TP   119.0W C-band Anik F3 & EchoStar 14 & DirecTV 7S
  119.0W    58 TP   119.0W Ku-band Anik F3 & EchoStar 14 & DirecTV 7S
