Spider VIP Firmware - Signature Map
File: F:\Satelite\Spider VIP\SPIDER-VIP_v1.00.92_20260507.mupg
Size: 530,280,116 bytes

== Header ==
upgrade_type  : all
product       : SPIDER_VIP
base_version  : 1.00.00
fw_version    : 1.00.92
chipset       : 3798MV300
ddr           : DDR 1GB
flash         : TOP 8GB
checksum_raw  : 1F9B6AB4

== All signature hits (offset : type) ==
0x0000000895  possible logo/boot image marker
0x000000644E  lzma stream
0x0000007705  ext2/3/4 superblock magic (@0x438)
0x00000085BB  ext2/3/4 superblock magic (@0x438)
0x000000DBA8  lzma stream
0x00000103D0  lzma stream
0x000002A07C  lzma stream
0x0000032AFC  FDT / Device Tree Blob (DTB)
0x0000033204  FDT / Device Tree Blob (DTB)
0x0000041638  lzma stream
0x000007934C  lzma stream
0x000008CEB0  lzma stream
0x0000092D74  lzma stream
0x0000096F00  lzma stream
0x00000A6368  lzma stream
0x00000B44E4  lzma stream
0x00000C0722  lzma stream
0x00000C0B22  lzma stream
0x00000C0F1D  possible logo/boot image marker
0x00000C0F68  possible logo/boot image marker
0x00000C25CE  possible logo/boot image marker
0x00000C25E5  possible logo/boot image marker
0x00000C2854  possible logo/boot image marker
0x00000C2880  possible logo/boot image marker
0x00000C2894  possible logo/boot image marker
0x00000CAD34  possible logo/boot image marker
0x00000CAD60  possible logo/boot image marker
0x00000CADA4  possible logo/boot image marker
0x00000CADEC  possible logo/boot image marker
0x00000CAE28  possible logo/boot image marker
0x00000CAE64  possible logo/boot image marker
0x00000CAEA0  possible logo/boot image marker
0x00000CAEDC  possible logo/boot image marker
0x00000CAF70  possible logo/boot image marker
0x00000CB741  lzma stream
0x00000DA4F6  Android boot image
0x00000DD6E8  lzma stream
0x00000E6DA8  lzma stream
0x00000E7B08  lzma stream
0x00000EC68B  possible logo/boot image marker
0x0000130AED  JFFS2 node (big-endian)
0x00001552F3  ext2/3/4 superblock magic (@0x438)
0x0000157924  ext2/3/4 superblock magic (@0x438)
0x000015C9B8  ext2/3/4 superblock magic (@0x438)
0x0000177A8C  ext2/3/4 superblock magic (@0x438)
0x000017B6BA  ext2/3/4 superblock magic (@0x438)
